Sequence,Time,File,RangeOffset,RangeLength,Text,Language,Type
61,202505,"dev/ABC424b.py",0,0,"# ABC424b\n# 2025-09-20 20:38:35\n\ndef main():\n    # 関数定義スペース\n\n    def func():\n        ...\n\n    ...    \n    # 入力スペース\n\n    N = splitN(input())\n    H, W = splitA(input())\n    A = splitA(input())\n    S = splitS(input())\n    S = splitB(input())\n\n    ...\n\n    # 処理スペース\n\n\n\n\n\n\n    ...\n\n\n\n# テストケース中枢処理\ndef case():\n    TESTCASE = 1\n    # TESTCASE = int(input()) # テストケース数の指定\n    for _ in range(TESTCASE):\n        try:\n            main()\n        except solvedException:\n            continue\n        # raise unSolvedExeption\n\n\n# インポート\nimport sys, itertools, math, heapq\nfrom collections import defaultdict, deque\nfrom sortedcontainers import SortedSet, SortedList, SortedDict  # CPython?\n\n# 定数・環境設定\nsys.setrecursionlimit(10**8)\nsys.set_int_max_str_digits(0)\ndict = defaultdict\nUPPER_ALPHABET = ""ABCDEFGHIJKLMNOPQRSTUVWXYZ""\nLOWER_ALPHABET=""abcdefghijklmnopqrstuvwxyz""\nMOD = 998244353\nMAX = 10**18\nLRUD = [(0, 1), (0, -1), (1, 0), (-1, 0)]\nLURULDRD = [(-1, -1), (-1, 1), (1, -1), (1, 1)]\n\n# 各種関数定義(超圧縮)\n## 便利関数\ndef printe(*values,sep="" "",end=""\n""):print(*values,sep=sep,end=end); fin()\ndef prin(stop=False,sep="" "",end=""\n"",file=sys.stdout):return (lambda*values:printe(*values,sep=sep,end=end)) if stop else (lambda*values:print(*values,sep=sep,end=end,file=file))\ndef yes(f=True): printe(""Yes"") if (f) else None\ndef no(f=True): printe(""No"") if (f) else None\ndef debug(*values,sep="" "",end=""\n""): print(*values,sep=sep,end=end,file=sys.stderr)\ndef printYN(f:bool): yes() if f else no()\ndef fin(f=True): raise solvedException if f else None\n## 分割関数\ndef split(value:str|list,sep:str="" "",func:callable=str) -> list:\n    result = []\n    if type(value) == list:\n        for i in range(len(value)):\n            result.append(split(value[i],sep))\n        return result\n    else:\n        if sep in value:\n            for i in value.split(sep):\n                result.append(func(i))\n        else:\n            result.append(func(value))\n        return result\n## 入力受け取り用\ndef input():return(sys.stdin.readline()).rstrip() #入力定数倍\ndef splitS(value:str|list,sep:str="" "")->str:return split(value,sep)[0] #文字列・分割して最初\ndef splitN(value:str|list,sep:str="" "")->int:return split(value,sep,int)[0] # 整数・分割して最初\ndef splitB(value:str|list,sep:str="" "")->list:return list(split(value,sep)) # 文字列・分割してすべて\ndef splitA(value:str|list,sep:str="" "")->list:return list(split(value,sep,int)) # 整数・分割してすべて\n\n# 例外クラス\nclass solvedException(Exception): pass # 処理打ち切り例外\nclass unSolvedExeption(Exception): # 回答未出力例外\n    def __init__(description = ""解答が出力されていません。""): super().__init__(description)\n\n# 実行\nif __name__ == ""__main__"":\n    case()\n",python,tab
62,257176,"dev/ABC424b.py",120,0,"# ",python,content
63,259106,"dev/ABC424b.py",146,0,"N",python,content
64,259472,"dev/ABC424b.py",147,0,",",python,content
65,259858,"dev/ABC424b.py",148,0,"M",python,content
66,260850,"dev/ABC424b.py",149,1,"",python,content
67,261953,"dev/ABC424b.py",151,1,"",python,content
68,262398,"dev/ABC424b.py",151,0,"K",python,content
69,264263,"dev/ABC424b.py",150,1,"",python,content
70,267842,"dev/ABC424b.py",169,0,"\n    ",python,content
71,268100,"dev/ABC424b.py",174,0,"f",python,content
72,268195,"dev/ABC424b.py",175,0,"o",python,content
73,268276,"dev/ABC424b.py",176,0,"r",python,content
74,268406,"dev/ABC424b.py",177,0," ",python,content
75,268509,"dev/ABC424b.py",178,0,"i",python,content
76,268607,"dev/ABC424b.py",179,0," ",python,content
77,268698,"dev/ABC424b.py",180,0,"i",python,content
78,268779,"dev/ABC424b.py",181,0,"n",python,content
79,268812,"dev/ABC424b.py",182,0," ",python,content
80,268951,"dev/ABC424b.py",183,0,"r",python,content
81,269136,"dev/ABC424b.py",184,0,"a",python,content
82,269214,"dev/ABC424b.py",185,0,"n",python,content
83,269398,"dev/ABC424b.py",186,0,"g",python,content
84,269464,"dev/ABC424b.py",187,0,"e",python,content
85,269722,"dev/ABC424b.py",188,0,"()",python,content
86,271118,"dev/ABC424b.py",189,0,"K",python,content
87,273323,"dev/ABC424b.py",191,0,":",python,content
88,273496,"dev/ABC424b.py",192,0,"\n        ",python,content
89,276199,"dev/ABC424b.py",193,8,"",python,content
89,276199,"dev/ABC424b.py",193,8,"",python,content
90,276199,"dev/ABC424b.py",116,26,"",python,content
91,277361,"dev/ABC424b.py",115,0,"\n",python,content
92,277828,"dev/ABC424b.py",116,0,"    ",python,content
93,279705,"dev/ABC424b.py",120,0,"p",python,content
94,279874,"dev/ABC424b.py",121,0,"o",python,content
95,280323,"dev/ABC424b.py",121,1,"",python,content
96,282061,"dev/ABC424b.py",121,0,"e",python,content
97,282236,"dev/ABC424b.py",122,0,"o",python,content
98,282453,"dev/ABC424b.py",123,0,"p",python,content
99,282545,"dev/ABC424b.py",124,0,"l",python,content
100,282869,"dev/ABC424b.py",125,0,"e",python,content
101,284481,"dev/ABC424b.py",126,0," ",python,content
102,284664,"dev/ABC424b.py",127,0,"=",python,content
103,284809,"dev/ABC424b.py",128,0," ",python,content
104,284927,"dev/ABC424b.py",129,0,"d",python,content
105,285004,"dev/ABC424b.py",130,0,"i",python,content
106,285134,"dev/ABC424b.py",131,0,"c",python,content
107,285248,"dev/ABC424b.py",132,0,"t",python,content
108,285522,"dev/ABC424b.py",133,0,"()",python,content
109,289780,"dev/ABC424b.py",187,0,"        ",python,content
110,304667,"dev/ABC424b.py",187,8,"",python,content
110,304667,"dev/ABC424b.py",187,8,"",python,content
111,304667,"dev/ABC424b.py",134,0,"l",python,content
112,304816,"dev/ABC424b.py",135,0,"a",python,content
113,304908,"dev/ABC424b.py",136,0,"m",python,content
114,305456,"dev/ABC424b.py",134,3,"lambda",python,content
115,305924,"dev/ABC424b.py",140,0,":",python,content
116,306412,"dev/ABC424b.py",141,0,"[]",python,content
117,307301,"dev/ABC424b.py",142,0,"-",python,content
118,307705,"dev/ABC424b.py",142,1,"",python,content
119,308734,"dev/ABC424b.py",142,0,"F",python,content
120,308900,"dev/ABC424b.py",143,0,"a",python,content
121,308996,"dev/ABC424b.py",144,0,"l",python,content
122,309091,"dev/ABC424b.py",145,0,"s",python,content
123,309452,"dev/ABC424b.py",146,0,"e",python,content
124,310032,"dev/ABC424b.py",148,0,"*",python,content
125,314090,"dev/ABC424b.py",149,0,"M",python,content
126,319927,"dev/ABC424b.py",203,0,"        ",python,content
127,323166,"dev/ABC424b.py",211,0,"p",python,content
128,323330,"dev/ABC424b.py",212,0,"e",python,content
129,323930,"dev/ABC424b.py",211,2,"people",python,content
130,324213,"dev/ABC424b.py",217,0,"[]",python,content
131,327318,"dev/ABC424b.py",217,2,"",python,content
132,327557,"dev/ABC424b.py",211,6,"",python,content
133,328915,"dev/ABC424b.py",203,8,"",python,content
134,329294,"dev/ABC424b.py",202,1,"",python,content
135,330275,"dev/ABC424b.py",202,0,"\n        ",python,content
136,333485,"dev/ABC424b.py",211,5,"",python,content
137,335683,"dev/ABC424b.py",211,1,"",python,content
138,336851,"dev/ABC424b.py",211,0,"a",python,content
139,337041,"dev/ABC424b.py",212,0,",",python,content
140,337341,"dev/ABC424b.py",213,0,"v",python,content
141,337965,"dev/ABC424b.py",213,1,"",python,content
142,338063,"dev/ABC424b.py",213,0,"b",python,content
143,340845,"dev/ABC424b.py",232,0,"\n        ",python,content
144,341354,"dev/ABC424b.py",241,0,"p",python,content
145,341501,"dev/ABC424b.py",242,0,"e",python,content
146,341662,"dev/ABC424b.py",243,0,"o",python,content
147,341903,"dev/ABC424b.py",244,0,"e",python,content
148,342000,"dev/ABC424b.py",245,0,"p",python,content
149,342046,"dev/ABC424b.py",246,0,"l",python,content
150,342669,"dev/ABC424b.py",247,0,"  ",python,content
151,343045,"dev/ABC424b.py",247,2,"",python,content
152,343284,"dev/ABC424b.py",241,6,"",python,content
153,343549,"dev/ABC424b.py",241,0,"p",python,content
154,343701,"dev/ABC424b.py",242,0,"e",python,content
155,344008,"dev/ABC424b.py",243,0,"o",python,content
156,344376,"dev/ABC424b.py",241,3,"people",python,content
157,344649,"dev/ABC424b.py",247,0,"[]",python,content
158,345697,"dev/ABC424b.py",248,0,"a",python,content
159,346623,"dev/ABC424b.py",250,0,".",python,content
160,347073,"dev/ABC424b.py",250,1,"",python,content
161,348256,"dev/ABC424b.py",250,0,"[]",python,content
162,352972,"dev/ABC424b.py",251,0,"b",python,content
163,353196,"dev/ABC424b.py",252,0,"-",python,content
164,353346,"dev/ABC424b.py",253,0,"1",python,content
165,356318,"dev/ABC424b.py",255,0,"=",python,content
166,356721,"dev/ABC424b.py",256,0,"T",python,content
167,356878,"dev/ABC424b.py",257,0,"r",python,content
168,357041,"dev/ABC424b.py",258,0,"u",python,content
169,357076,"dev/ABC424b.py",259,0,"e",python,content
170,367591,"dev/ABC424b.py",120,0,"# ",python,content
171,369761,"dev/ABC424b.py",153,0,"\n    ",python,content
172,370261,"dev/ABC424b.py",158,0,"p",python,content
173,370323,"dev/ABC424b.py",159,0,"e",python,content
174,370469,"dev/ABC424b.py",160,0,"o",python,content
175,372216,"dev/ABC424b.py",160,1,"",python,content
176,372632,"dev/ABC424b.py",160,0,"o",python,content
177,372873,"dev/ABC424b.py",161,0,"p",python,content
178,372921,"dev/ABC424b.py",162,0,"l",python,content
179,373094,"dev/ABC424b.py",163,0,"e",python,content
180,373421,"dev/ABC424b.py",164,0,"[]",python,content
181,374111,"dev/ABC424b.py",164,2,"",python,content
182,374368,"dev/ABC424b.py",164,0,"=",python,content
183,375016,"dev/ABC424b.py",165,0,"[]",python,content
184,377316,"dev/ABC424b.py",166,0,"0",python,content
185,378273,"dev/ABC424b.py",168,0,"*",python,content
186,378897,"dev/ABC424b.py",169,0,"N",python,content
187,379870,"dev/ABC424b.py",169,1,"",python,content
188,381302,"dev/ABC424b.py",169,0,"N",python,content
189,385138,"dev/ABC424b.py",268,0,"-",python,content
190,385264,"dev/ABC424b.py",269,0,"1",python,content
191,387260,"dev/ABC424b.py",280,1,"",python,content
192,387411,"dev/ABC424b.py",279,1,"",python,content
193,387558,"dev/ABC424b.py",278,1,"",python,content
194,387734,"dev/ABC424b.py",277,1,"",python,content
195,388047,"dev/ABC424b.py",277,0,"+",python,content
196,388192,"dev/ABC424b.py",278,0,"=",python,content
197,388491,"dev/ABC424b.py",279,0,"1",python,content
198,389954,"dev/ABC424b.py",276,1,"",python,content
199,392282,"dev/ABC424b.py",280,48,"",python,content
200,392803,"dev/ABC424b.py",280,0,"\n",python,content
201,393499,"dev/ABC424b.py",280,0,"    ",python,content
202,394494,"dev/ABC424b.py",284,0,"\n    ",python,content
202,394494,"dev/ABC424b.py",284,0,"\n    ",python,content
203,394494,"dev/ABC424b.py",280,4,"",python,content
204,394725,"dev/ABC424b.py",285,0,"f",python,content
205,394756,"dev/ABC424b.py",286,0,"o",python,content
206,394911,"dev/ABC424b.py",287,0,"r",python,content
207,395033,"dev/ABC424b.py",288,0," ",python,content
208,395084,"dev/ABC424b.py",289,0,"i",python,content
209,395254,"dev/ABC424b.py",290,0," ",python,content
210,395281,"dev/ABC424b.py",291,0,"i",python,content
211,395374,"dev/ABC424b.py",292,0,"n",python,content
212,395452,"dev/ABC424b.py",293,0," ",python,content
213,395548,"dev/ABC424b.py",294,0,"r",python,content
214,395754,"dev/ABC424b.py",295,0,"a",python,content
215,395786,"dev/ABC424b.py",296,0,"n",python,content
216,395912,"dev/ABC424b.py",297,0,"g",python,content
217,395982,"dev/ABC424b.py",298,0,"e",python,content
218,396206,"dev/ABC424b.py",299,0,"_",python,content
219,396216,"dev/ABC424b.py",300,0,"()",python,content
220,396584,"dev/ABC424b.py",300,2,"",python,content
221,396758,"dev/ABC424b.py",299,1,"",python,content
222,397067,"dev/ABC424b.py",299,0,"()",python,content
223,398170,"dev/ABC424b.py",300,0,"N",python,content
224,398599,"dev/ABC424b.py",302,0,":",python,content
225,398624,"dev/ABC424b.py",303,0,"\n        ",python,content
226,399650,"dev/ABC424b.py",312,0,"p",python,content
227,399753,"dev/ABC424b.py",313,0,"e",python,content
228,399906,"dev/ABC424b.py",314,0,"o",python,content
229,400306,"dev/ABC424b.py",312,3,"people",python,content
230,400812,"dev/ABC424b.py",318,0,"[]",python,content
231,401249,"dev/ABC424b.py",319,0,"i",python,content
232,411423,"dev/ABC424b.py",281,41,"",python,content
233,412384,"dev/ABC424b.py",279,0,"\n        ",python,content
234,412789,"dev/ABC424b.py",288,0,"i",python,content
235,412877,"dev/ABC424b.py",289,0,"f",python,content
236,413069,"dev/ABC424b.py",290,0," ",python,content
237,414301,"dev/ABC424b.py",291,0,"p",python,content
238,414516,"dev/ABC424b.py",292,0,"e",python,content
239,415158,"dev/ABC424b.py",291,2,"people",python,content
240,415362,"dev/ABC424b.py",297,0,"[]",python,content
241,415742,"dev/ABC424b.py",298,0,"a",python,content
242,416167,"dev/ABC424b.py",299,0,"-",python,content
243,416364,"dev/ABC424b.py",300,0,"1",python,content
244,418967,"dev/ABC424b.py",302,0,"[]",python,content
245,419226,"dev/ABC424b.py",303,0,"b",python,content
246,419478,"dev/ABC424b.py",304,0,"-",python,content
247,419587,"dev/ABC424b.py",305,0,"1",python,content
248,420590,"dev/ABC424b.py",307,0,"=",python,content
249,420754,"dev/ABC424b.py",308,0,"=",python,content
250,422478,"dev/ABC424b.py",309,0,"M",python,content
251,423516,"dev/ABC424b.py",310,0,":",python,content
252,423549,"dev/ABC424b.py",311,0,"\n            ",python,content
253,429138,"dev/ABC424b.py",312,12,"",python,content
253,429138,"dev/ABC424b.py",312,12,"",python,content
254,429138,"dev/ABC424b.py",170,0,"\n    ",python,content
255,429564,"dev/ABC424b.py",175,0,"w",python,content
256,429654,"dev/ABC424b.py",176,0,"i",python,content
257,429733,"dev/ABC424b.py",177,0,"n",python,content
258,429896,"dev/ABC424b.py",178,0,"n",python,content
259,430004,"dev/ABC424b.py",179,0,"e",python,content
260,430150,"dev/ABC424b.py",180,0,"r",python,content
261,430273,"dev/ABC424b.py",181,0," ",python,content
262,430418,"dev/ABC424b.py",182,0,"=",python,content
263,430562,"dev/ABC424b.py",183,0," ",python,content
264,430650,"dev/ABC424b.py",184,0,"[]",python,content
265,432476,"dev/ABC424b.py",328,0,"            ",python,content
266,432956,"dev/ABC424b.py",340,0,"w",python,content
267,432993,"dev/ABC424b.py",341,0,"i",python,content
268,433142,"dev/ABC424b.py",342,0,"n",python,content
269,433226,"dev/ABC424b.py",343,0,"n",python,content
270,433527,"dev/ABC424b.py",340,4,"winner",python,content
271,433701,"dev/ABC424b.py",346,0,".",python,content
272,434053,"dev/ABC424b.py",347,0,"a",python,content
273,434132,"dev/ABC424b.py",348,0,"o",python,content
274,434292,"dev/ABC424b.py",349,0,"o",python,content
275,434690,"dev/ABC424b.py",349,1,"",python,content
276,434886,"dev/ABC424b.py",348,1,"",python,content
277,435096,"dev/ABC424b.py",348,0,"p",python,content
278,435262,"dev/ABC424b.py",349,0,"p",python,content
279,435552,"dev/ABC424b.py",347,3,"append",python,content
280,435878,"dev/ABC424b.py",353,0,"()",python,content
281,437362,"dev/ABC424b.py",354,0,"a",python,content
282,437467,"dev/ABC424b.py",355,0,"-",python,content
283,437642,"dev/ABC424b.py",356,0,"1",python,content
284,439898,"dev/ABC424b.py",356,1,"",python,content
285,440078,"dev/ABC424b.py",355,1,"",python,content
286,445580,"dev/ABC424b.py",357,0,"\n",python,content
287,453167,"dev/ABC424b.py",357,0,"\n",python,content
288,459129,"dev/ABC424b.py",358,0,"    ",python,content
289,459644,"dev/ABC424b.py",362,0,"p",python,content
290,459828,"dev/ABC424b.py",363,0,"i",python,content
291,460132,"dev/ABC424b.py",363,1,"",python,content
292,461014,"dev/ABC424b.py",363,0,"r",python,content
